id,role,grade
330,Assistant_Manger,17
331,Worker,13
332,Staff,10
333,Manager,19
334,Worker,13
335,Employee,15
336,Worker,13
337,Manager,19
338,Manager,19
339,Assistant_Manger,17
340,Worker,13
341,Manager,19
342,Assistant_Manger,17
343,Manager,19
344,Employee,15
345,Staff,10
346,Manager,19
347,Assistant_Manger,17
348,Manager,19
349,Staff,10
350,Staff,10
351,Worker,13
352,Assistant_Manger,17
353,Worker,13
354,Assistant_Manger,17
355,Worker,13
356,Worker,13
357,Assistant_Manger,17
358,Employee,15
359,Manager,19
360,Assistant_Manger,17
361,Assistant_Manger,17
362,Worker,13
363,Manager,19
364,Worker,13
365,Worker,13
366,Employee,15
367,Manager,19
368,Manager,19
369,Manager,19
370,Staff,10
371,Assistant_Manger,17
372,Staff,10
373,Assistant_Manger,17
374,Manager,19
375,Manager,19
376,Worker,13
377,Worker,13
378,Worker,13
379,Manager,19
380,Employee,15
381,Employee,15
382,Manager,19
383,Employee,15
384,Manager,19
385,Worker,13
386,Worker,13
387,Manager,19
388,Manager,19
389,Worker,13
390,Assistant_Manger,17
391,Assistant_Manger,17
392,Staff,10
393,Employee,15
394,Assistant_Manger,17
395,Assistant_Manger,17
396,Worker,13
397,Assistant_Manger,17
398,Staff,10
399,Manager,19
400,Assistant_Manger,17
401,Manager,19
402,Worker,13
403,Staff,10
404,Worker,13
405,Manager,19
406,Employee,15
407,Worker,13
408,Worker,13
409,Manager,19
410,Assistant_Manger,17
411,Staff,10
412,Staff,10
413,Staff,10
414,Worker,13
415,Worker,13
416,Manager,19
417,Worker,13
418,Manager,19
419,Assistant_Manger,17
420,Assistant_Manger,17
421,Worker,13
422,Assistant_Manger,17
423,Worker,13
424,Staff,10
425,Employee,15
426,Manager,19
427,Staff,10
428,Manager,19
429,Manager,19
430,Employee,15
431,Manager,19
432,Staff,10
433,Assistant_Manger,17
434,Manager,19
435,Staff,10
436,Worker,13
437,Staff,10
438,Assistant_Manger,17
439,Staff,10
440,Staff,10
441,Worker,13
442,Staff,10
443,Staff,10
444,Worker,13
445,Employee,15
446,Manager,19
447,Assistant_Manger,17
448,Employee,15
449,Employee,15
450,Employee,15
451,Staff,10
452,Worker,13
453,Staff,10
454,Assistant_Manger,17
455,Manager,19
456,Manager,19
457,Employee,15
458,Worker,13
459,Worker,13
460,Staff,10
461,Assistant_Manger,17
462,Assistant_Manger,17
463,Assistant_Manger,17
464,Assistant_Manger,17
465,Assistant_Manger,17
466,Assistant_Manger,17
467,Staff,10
468,Assistant_Manger,17
469,Worker,13
470,Assistant_Manger,17
471,Worker,13
472,Assistant_Manger,17
473,Staff,10
474,Manager,19
475,Staff,10
476,Employee,15
477,Employee,15
478,Employee,15
479,Staff,10
480,Assistant_Manger,17
481,Assistant_Manger,17
482,Assistant_Manger,17
483,Employee,15
484,Employee,15
485,Employee,15
486,Assistant_Manger,17
487,Staff,10
488,Manager,19
489,Manager,19
490,Worker,13
491,Worker,13
492,Staff,10
493,Employee,15
494,Staff,10
495,Assistant_Manger,17
496,Assistant_Manger,17
497,Assistant_Manger,17
498,Assistant_Manger,17
499,Worker,13
500,Manager,19
501,Worker,13
502,Staff,10
503,Worker,13
504,Assistant_Manger,17
505,Manager,19
506,Manager,19
507,Worker,13
508,Assistant_Manger,17
509,Worker,13
510,Assistant_Manger,17
511,Manager,19
512,Manager,19
513,Manager,19
514,Worker,13
515,Staff,10
516,Employee,15
517,Employee,15
518,Employee,15
519,Assistant_Manger,17
520,Staff,10
521,Worker,13
522,Employee,15
523,Assistant_Manger,17
524,Manager,19
525,Assistant_Manger,17
526,Manager,19
527,Staff,10
528,Manager,19
529,Staff,10
530,Worker,13
531,Assistant_Manger,17
532,Assistant_Manger,17
533,Staff,10
534,Employee,15
535,Assistant_Manger,17
536,Staff,10
537,Manager,19
538,Employee,15
539,Manager,19
540,Assistant_Manger,17
541,Assistant_Manger,17
542,Assistant_Manger,17
543,Assistant_Manger,17
544,Worker,13
545,Staff,10
546,Worker,13
547,Employee,15
548,Assistant_Manger,17
549,Assistant_Manger,17
550,Employee,15
551,Worker,13
552,Employee,15
553,Employee,15
554,Manager,19
555,Manager,19
556,Assistant_Manger,17
557,Worker,13
558,Employee,15
559,Assistant_Manger,17
560,Worker,13
561,Staff,10
562,Worker,13
563,Staff,10
564,Staff,10
565,Worker,13
566,Employee,15
567,Staff,10
568,Staff,10
569,Staff,10
570,Manager,19
571,Employee,15
572,Staff,10
573,Manager,19
574,Employee,15
575,Worker,13
576,Staff,10
577,Employee,15
578,Staff,10
579,Worker,13
580,Manager,19
581,Assistant_Manger,17
582,Assistant_Manger,17
583,Staff,10
584,Manager,19
585,Manager,19
586,Assistant_Manger,17
587,Worker,13
588,Worker,13
589,Employee,15
590,Assistant_Manger,17
591,Manager,19
592,Employee,15
593,Assistant_Manger,17
594,Worker,13
595,Worker,13
596,Assistant_Manger,17
597,Employee,15
598,Worker,13
599,Staff,10
600,Manager,19
601,Assistant_Manger,17
602,Staff,10
603,Manager,19
604,Assistant_Manger,17
605,Staff,10
606,Manager,19
607,Manager,19
608,Worker,13
609,Employee,15
610,Assistant_Manger,17
611,Manager,19
612,Employee,15
613,Assistant_Manger,17
614,Manager,19
615,Employee,15
616,Employee,15
617,Employee,15
618,Worker,13
619,Staff,10
620,Employee,15
621,Employee,15
622,Assistant_Manger,17
623,Manager,19
624,Employee,15
625,Manager,19
626,Worker,13
627,Staff,10
628,Worker,13
629,Staff,10
630,Manager,19
631,Employee,15
632,Employee,15
633,Employee,15
634,Assistant_Manger,17
635,Worker,13
636,Worker,13
637,Manager,19
638,Assistant_Manger,17
639,Manager,19
640,Staff,10
641,Worker,13
642,Employee,15
643,Worker,13
644,Employee,15
645,Manager,19
646,Employee,15
647,Assistant_Manger,17
648,Assistant_Manger,17
649,Employee,15
650,Staff,10
651,Manager,19
652,Staff,10
653,Employee,15
654,Employee,15
655,Manager,19
656,Worker,13
657,Worker,13
658,Employee,15
659,Staff,10
660,Manager,19
661,Manager,19
662,Assistant_Manger,17
663,Manager,19
664,Manager,19
665,Manager,19
666,Manager,19
667,Assistant_Manger,17
668,Employee,15
669,Assistant_Manger,17
670,Manager,19
671,Manager,19
672,Assistant_Manger,17
673,Assistant_Manger,17
674,Manager,19
675,Employee,15
676,Assistant_Manger,17
677,Employee,15
678,Employee,15
679,Employee,15
680,Assistant_Manger,17
681,Manager,19
682,Manager,19
683,Assistant_Manger,17
684,Manager,19
685,Worker,13
686,Worker,13
687,Staff,10
688,Assistant_Manger,17
689,Assistant_Manger,17
690,Worker,13
691,Employee,15
692,Employee,15
693,Staff,10
694,Staff,10
695,Manager,19
696,Employee,15
697,Manager,19
698,Manager,19
699,Manager,19
700,Employee,15
701,Assistant_Manger,17
702,Worker,13
703,Staff,10
704,Staff,10
705,Staff,10
706,Assistant_Manger,17
707,Worker,13
708,Assistant_Manger,17
709,Employee,15
710,Employee,15
711,Worker,13
712,Employee,15
713,Worker,13
714,Worker,13
715,Worker,13
716,Assistant_Manger,17
717,Staff,10
718,Manager,19
719,Employee,15
720,Manager,19
721,Assistant_Manger,17
722,Employee,15
723,Assistant_Manger,17
724,Assistant_Manger,17
725,Assistant_Manger,17
726,Employee,15
727,Assistant_Manger,17
728,Manager,19
729,Assistant_Manger,17
730,Assistant_Manger,17
731,Employee,15
732,Employee,15
733,Staff,10
734,Assistant_Manger,17
735,Worker,13
736,Staff,10
737,Assistant_Manger,17
738,Assistant_Manger,17
739,Employee,15
740,Worker,13
741,Manager,19
742,Employee,15
743,Staff,10
744,Worker,13
745,Employee,15
746,Employee,15
747,Manager,19
748,Employee,15
749,Assistant_Manger,17
750,Worker,13
751,Manager,19
752,Employee,15
753,Worker,13
754,Staff,10
755,Staff,10
756,Manager,19
757,Manager,19
758,Staff,10
759,Manager,19
760,Manager,19
761,Manager,19
762,Assistant_Manger,17
763,Staff,10
764,Manager,19
765,Employee,15
766,Assistant_Manger,17
767,Manager,19
768,Worker,13
769,Assistant_Manger,17
770,Manager,19
771,Manager,19
772,Assistant_Manger,17
773,Employee,15
774,Staff,10
775,Manager,19
776,Worker,13
777,Employee,15
778,Manager,19
779,Employee,15
780,Staff,10
781,Worker,13
782,Employee,15
783,Employee,15
784,Worker,13
785,Staff,10
786,Staff,10
787,Employee,15
788,Manager,19
789,Assistant_Manger,17
790,Manager,19
791,Manager,19
792,Employee,15
793,Employee,15
794,Manager,19
795,Employee,15
796,Manager,19
797,Manager,19
798,Worker,13
799,Worker,13
800,Assistant_Manger,17
801,Staff,10
802,Assistant_Manger,17
803,Manager,19
804,Employee,15
805,Worker,13
806,Employee,15
807,Assistant_Manger,17
808,Worker,13
809,Assistant_Manger,17
810,Worker,13
811,Assistant_Manger,17
812,Staff,10
813,Staff,10
814,Employee,15
815,Worker,13
816,Assistant_Manger,17
817,Staff,10
818,Staff,10
819,Worker,13
820,Manager,19
821,Assistant_Manger,17
822,Employee,15
823,Worker,13
824,Manager,19
825,Manager,19
826,Employee,15
827,Staff,10
828,Manager,19
829,Assistant_Manger,17
830,Assistant_Manger,17
831,Staff,10
832,Employee,15
833,Manager,19
834,Manager,19
835,Employee,15
836,Employee,15
837,Assistant_Manger,17
838,Assistant_Manger,17
839,Employee,15
840,Staff,10
841,Staff,10
842,Worker,13
843,Staff,10
844,Staff,10
845,Manager,19
846,Assistant_Manger,17
847,Worker,13
848,Assistant_Manger,17
849,Manager,19
850,Employee,15
851,Assistant_Manger,17
852,Employee,15
853,Employee,15
854,Employee,15
855,Employee,15
856,Manager,19
857,Worker,13
858,Manager,19
859,Assistant_Manger,17
860,Employee,15
861,Staff,10
862,Worker,13
863,Employee,15
864,Worker,13
865,Employee,15
866,Worker,13
867,Staff,10
868,Staff,10
869,Manager,19
870,Assistant_Manger,17
871,Worker,13
872,Staff,10
873,Assistant_Manger,17
874,Worker,13
875,Employee,15
876,Worker,13
877,Staff,10
878,Employee,15
879,Employee,15
880,Manager,19
881,Assistant_Manger,17
882,Employee,15
883,Manager,19
884,Worker,13
885,Staff,10
886,Manager,19
887,Employee,15
888,Assistant_Manger,17
889,Worker,13
890,Worker,13
891,Manager,19
892,Assistant_Manger,17
893,Manager,19
894,Worker,13
895,Staff,10
896,Worker,13
897,Employee,15
898,Staff,10
899,Assistant_Manger,17
900,Assistant_Manger,17
901,Worker,13
902,Worker,13
903,Assistant_Manger,17
904,Employee,15
905,Staff,10
906,Staff,10
907,Employee,15
908,Staff,10
909,Assistant_Manger,17
910,Employee,15
911,Worker,13
912,Worker,13
913,Worker,13
914,Worker,13
915,Assistant_Manger,17
916,Manager,19
917,Assistant_Manger,17
918,Manager,19
919,Manager,19
920,Staff,10
921,Worker,13
922,Employee,15
923,Manager,19
924,Staff,10
925,Staff,10
926,Assistant_Manger,17
927,Worker,13
928,Employee,15
929,Manager,19
930,Assistant_Manger,17
931,Manager,19
932,Worker,13
933,Staff,10
934,Manager,19
935,Staff,10
936,Worker,13
937,Assistant_Manger,17
938,Assistant_Manger,17
939,Employee,15
940,Staff,10
941,Assistant_Manger,17
942,Employee,15
943,Worker,13
944,Assistant_Manger,17
945,Employee,15
946,Worker,13
947,Worker,13
948,Assistant_Manger,17
949,Worker,13
950,Manager,19
951,Staff,10
952,Worker,13
953,Assistant_Manger,17
954,Staff,10
955,Staff,10
956,Assistant_Manger,17
957,Staff,10
958,Manager,19
959,Manager,19
960,Staff,10
961,Employee,15
962,Manager,19
963,Worker,13
964,Worker,13
965,Employee,15
966,Worker,13
967,Manager,19
968,Assistant_Manger,17
969,Employee,15
970,Assistant_Manger,17
971,Staff,10
972,Worker,13
973,Manager,19
974,Manager,19
975,Assistant_Manger,17
976,Manager,19
977,Staff,10
978,Manager,19
979,Staff,10
980,Employee,15
981,Manager,19
982,Worker,13
983,Manager,19
984,Manager,19
985,Manager,19
986,Employee,15
987,Manager,19
988,Employee,15
989,Employee,15
990,Assistant_Manger,17
991,Staff,10
992,Assistant_Manger,17
993,Worker,13
994,Assistant_Manger,17
995,Assistant_Manger,17
996,Assistant_Manger,17
997,Worker,13
998,Staff,10
999,Assistant_Manger,17
1000,Assistant_Manger,17
